Region,Route_Type,Transport_Mode,Weather,Traffic_Level,Distance_km,Shipment_Volume,Fuel_Price_INR_L,Delivery_Time_hr,Expected_Time_hr,Delay_hr,Transport_Cost_INR
West,Regional,Van,Cloudy,Medium,124.2,50,95.58,8.77,6.18,2.68,549.62
North,Local,Bike,Clear,Medium,69.7,45,90.4,6.08,4.6,1.4,357.53
West,Local,Bike,Rain,Medium,79.9,42,94.03,6.77,4.86,1.71,367.86
East,Local,Van,Rain,High,109.0,43,96.89,8.64,5.68,3.47,485.09
East,Local,Van,Cloudy,Medium,39.6,44,102.15,4.95,3.75,0.95,267.78
South,Intercity,Truck,Clear,Low,92.2,36,99.02,7.41,5.14,1.91,481.19
North,Regional,Van,Cloudy,Medium,120.5,59,91.75,9.26,6.16,3.33,473.07
West,Regional,Van,Clear,High,112.1,46,108.43,10.58,5.8,4.5,496.64
South,Local,Van,Clear,Low,52.3,45,97.32,4.53,4.11,0.08,306.18
West,Regional,Bike,Clear,Medium,58.3,40,102.38,5.74,4.23,1.0,277.49
West,Regional,Van,Clear,Medium,21.9,43,95.24,5.0,3.24,1.59,253.03
South,Local,Bike,Rain,Medium,127.5,37,98.67,8.94,6.14,2.77,522.79
South,Regional,Truck,Cloudy,Medium,235.7,38,100.2,13.15,9.18,4.06,940.38
South,Local,Bike,Cloudy,High,47.9,39,102.09,6.91,3.93,3.31,292.32
South,Regional,Van,Clear,Low,152.0,52,101.29,7.63,6.98,0.84,628.39
South,Regional,Bike,Clear,Low,224.4,56,100.36,10.01,9.04,0.9,829.83
West,Local,Truck,Clear,Low,64.3,46,94.42,5.41,4.46,0.88,340.08
South,Local,Van,Rain,High,79.9,43,93.14,8.88,4.87,4.2,427.02
North,Regional,Van,Clear,Medium,98.1,42,97.66,6.67,5.37,1.75,442.35
East,Regional,Bike,Rain,Low,110.2,46,100.67,6.33,5.75,0.63,463.32
South,Intercity,Truck,Clear,High,101.1,51,94.89,10.03,5.54,4.32,517.64
South,Regional,Bike,Clear,High,67.3,48,101.33,7.43,4.56,2.52,334.92
West,Local,Truck,Cloudy,High,119.5,40,103.26,8.44,5.95,1.99,525.78
South,Local,Bike,Clear,High,68.2,51,91.42,6.11,4.62,1.73,354.72
South,Regional,Bike,Rain,Low,104.9,50,91.82,7.54,5.64,2.11,501.38
South,Local,Bike,Rain,High,83.6,44,95.3,8.14,4.98,3.36,481.4
West,Regional,Van,Clear,Medium,25.8,35,97.54,4.63,3.27,1.31,228.99
South,Intercity,Van,Clear,High,164.1,56,93.38,11.97,7.35,5.11,729.94
East,Regional,Bike,Clear,Medium,59.2,41,102.76,4.2,4.27,0.0,295.85
West,Local,Truck,Rain,High,173.0,40,98.12,11.12,7.44,4.01,689.81
East,Regional,Van,Clear,Medium,148.7,44,96.2,8.76,6.8,1.95,631.22
West,Regional,Van,Cloudy,Low,96.4,50,88.82,7.31,5.4,1.7,455.06
South,Regional,Van,Cloudy,Medium,113.3,45,89.42,8.18,5.82,2.56,467.69
East,Intercity,Van,Cloudy,High,121.0,50,97.41,10.8,6.09,4.86,532.72
West,Local,Van,Clear,High,75.7,52,85.34,6.08,4.84,1.36,395.26
North,Intercity,Bike,Cloudy,Low,77.8,42,101.06,7.06,4.8,2.29,390.81
South,Intercity,Bike,Rain,Low,117.7,47,95.21,9.53,5.97,3.55,534.99
West,Local,Truck,Clear,Low,84.1,45,112.22,7.61,5.0,3.44,437.68
North,Local,Truck,Clear,Medium,67.4,31,107.54,5.8,4.4,1.82,339.81
West,Local,Van,Rain,High,52.8,46,95.09,7.49,4.14,3.6,282.77
North,Local,Van,Clear,Low,106.6,52,95.47,5.84,5.7,0.18,448.12
South,Local,Van,Rain,Medium,58.1,40,100.98,5.0,4.23,1.12,378.11
East,Regional,Van,Clear,High,135.1,49,104.52,10.46,6.47,4.17,590.45
North,Local,Bike,Clear,Medium,141.4,47,87.81,8.44,6.63,1.82,587.18
West,Local,Bike,Rain,Medium,112.9,38,87.07,8.95,5.74,3.1,458.39
South,Intercity,Truck,Clear,Medium,126.0,51,92.89,8.84,6.24,2.57,672.56
North,Local,Van,Clear,Medium,113.0,50,98.91,8.09,5.86,1.12,474.35
West,Intercity,Bike,Clear,Low,131.0,50,98.48,10.0,6.37,3.71,551.74
West,Local,Bike,Clear,Medium,127.9,48,101.35,8.26,6.26,1.83,570.41
West,Local,Bike,Clear,Medium,103.5,57,90.0,7.48,5.67,2.37,495.21
North,Regional,Van,Clear,High,149.7,33,84.42,10.14,6.72,3.42,651.58
North,Regional,Bike,Rain,Medium,77.3,52,100.29,6.77,4.88,1.47,447.03
North,Intercity,Bike,Clear,High,53.8,50,91.86,8.31,4.21,4.09,317.29
East,Regional,Truck,Cloudy,Low,52.1,42,85.91,5.68,4.08,1.24,271.71
North,Intercity,Bike,Clear,Medium,70.8,61,96.73,7.75,4.79,3.13,358.21
North,Local,Van,Cloudy,Low,23.5,57,99.97,3.43,3.43,0.11,219.6
North,Local,Bike,Clear,Low,95.9,47,95.39,5.54,5.36,0.52,514.95
East,Regional,Bike,Rain,Medium,121.8,41,93.71,10.08,6.02,3.79,477.36
North,Intercity,Bike,Clear,High,140.3,50,95.2,10.23,6.63,3.62,639.27
West,Intercity,Truck,Clear,Low,29.3,49,94.15,6.7,3.51,2.71,243.53
North,Local,Truck,Clear,Medium,53.1,42,89.26,5.76,4.11,1.9,342.02
West,Local,Truck,Clear,High,132.9,44,92.43,8.25,6.36,2.07,584.41
West,Intercity,Van,Clear,Low,75.9,42,98.61,7.54,4.75,2.97,348.5
West,Local,Van,Clear,Medium,120.3,57,97.61,7.75,6.14,1.62,568.06
East,Intercity,Bike,Cloudy,Medium,38.4,43,96.84,6.67,3.71,3.11,265.21
East,Intercity,Van,Clear,Medium,171.9,32,91.02,10.71,7.33,3.94,730.67
East,Regional,Truck,Clear,Low,36.5,38,95.09,4.21,3.6,0.51,253.33
North,Regional,Bike,Cloudy,Medium,94.3,44,85.11,7.7,5.28,2.47,410.43
West,Regional,Bike,Cloudy,High,95.7,40,96.89,9.8,5.28,4.14,382.57
East,Local,Bike,Clear,Medium,63.3,48,103.14,6.05,4.45,1.29,361.76
East,Intercity,Bike,Clear,Low,110.7,50,88.63,8.04,5.8,2.27,507.85
North,Regional,Bike,Clear,High,112.4,55,93.07,9.67,5.9,4.16,470.5
East,Intercity,Van,Cloudy,Low,105.8,50,97.65,8.54,5.66,2.79,467.79
North,Local,Van,Cloudy,Medium,62.6,48,102.26,6.34,4.43,1.83,321.13
South,Intercity,Truck,Clear,Low,55.6,43,93.76,5.86,4.19,1.53,270.95
East,Local,Truck,Cloudy,High,66.6,54,92.54,7.71,4.6,2.91,339.91
South,Local,Van,Cloudy,Medium,51.1,41,86.16,6.35,4.04,2.41,249.89
North,Intercity,Van,Clear,Medium,153.4,40,96.52,9.65,6.9,2.23,627.92
West,Local,Van,Rain,Low,70.0,38,106.21,7.31,4.54,3.22,330.67
East,Local,Van,Clear,Medium,92.8,44,97.39,6.88,5.24,1.41,380.37
North,Intercity,Van,Clear,High,132.6,36,95.89,9.61,6.27,3.59,638.35
West,Intercity,Van,Clear,High,49.6,46,97.61,8.11,4.05,3.62,334.04
West,Regional,Van,Clear,Medium,35.5,45,95.94,5.37,3.64,1.96,213.45
South,Regional,Van,Clear,Medium,51.2,47,91.93,6.63,4.1,2.76,304.98
North,Regional,Van,Rain,Medium,98.6,38,100.12,8.35,5.34,3.14,468.32
West,Local,Van,Clear,High,94.9,46,97.13,7.81,5.32,2.15,487.64
East,Local,Truck,Clear,Medium,105.7,42,96.09,7.98,5.58,2.48,466.07
East,Regional,Truck,Clear,Medium,80.0,52,91.12,7.73,4.96,2.35,450.74
South,Regional,Bike,Rain,Medium,15.1,48,102.52,4.25,3.1,1.05,147.05
West,Intercity,Truck,Clear,Medium,78.6,43,99.32,7.2,4.83,2.73,356.48
North,Intercity,Van,Clear,Low,142.2,51,93.24,10.05,6.69,3.64,635.82
East,Local,Truck,Clear,Medium,162.1,46,101.01,9.62,7.2,2.42,739.49
West,Regional,Truck,Clear,Medium,89.4,39,93.51,7.29,5.09,1.86,526.23
West,Local,Van,Rain,High,95.1,47,92.09,7.89,5.33,2.78,403.72
South,Regional,Bike,Rain,Low,119.1,46,92.2,7.89,5.99,1.91,544.61
East,Regional,Van,Clear,Medium,159.7,38,87.14,8.46,7.05,0.6,642.93
East,Intercity,Van,Rain,Medium,85.0,41,98.36,8.65,4.99,3.93,435.93
North,Local,Van,Cloudy,Medium,118.2,44,86.84,7.69,5.95,1.73,468.88
East,Local,Van,Rain,Low,60.9,31,89.86,5.31,4.22,1.52,272.0
North,Local,Bike,Clear,Medium,38.9,49,85.62,4.85,3.78,0.69,219.84
East,Regional,Truck,Clear,Medium,64.8,39,95.57,7.01,4.4,1.49,354.57
South,Regional,Truck,Clear,Medium,179.3,40,95.25,12.16,7.62,4.63,723.17
East,Local,Van,Cloudy,Medium,119.5,42,94.37,7.11,5.97,1.24,549.49
North,Local,Bike,Clear,Medium,41.2,52,90.79,5.78,3.87,1.32,293.75
North,Regional,Van,Clear,High,122.5,42,90.14,9.98,6.05,3.58,555.88
South,Local,Bike,Clear,Low,43.1,51,98.32,4.02,3.92,1.07,321.35
East,Intercity,Truck,Cloudy,High,104.9,39,93.25,9.96,5.53,4.32,503.23
East,Regional,Bike,Clear,Medium,48.4,44,97.58,5.44,4.0,1.7,234.98
South,Local,Van,Cloudy,Low,39.7,52,91.57,5.05,3.83,0.99,307.51
East,Local,Van,Rain,Low,195.5,43,96.91,11.85,8.1,3.01,768.43
East,Intercity,Van,Clear,Medium,70.0,52,102.52,7.88,4.68,3.14,397.98
North,Local,Van,Cloudy,High,118.3,44,98.93,9.21,5.95,3.17,580.77
East,Local,Truck,Clear,Medium,87.0,57,93.94,6.99,5.21,1.65,457.04
East,Intercity,Bike,Rain,High,45.3,57,97.29,7.2,4.04,3.12,224.24
South,Intercity,Bike,Clear,Medium,74.3,46,94.8,7.14,4.74,2.5,335.35
South,Intercity,Bike,Cloudy,Medium,45.5,44,96.04,7.27,3.91,3.3,313.64
West,Regional,Truck,Cloudy,Low,271.0,38,94.37,12.68,10.17,2.07,1052.19
North,Local,Truck,Rain,Medium,129.9,49,95.18,8.84,6.33,2.69,585.5
East,Local,Van,Cloudy,Medium,86.1,43,97.06,7.02,5.04,1.3,439.97
East,Intercity,Van,Clear,Low,114.9,48,91.03,7.8,5.9,1.18,538.17
West,Regional,Van,Cloudy,Low,125.4,42,90.92,7.83,6.13,1.96,554.9
East,Regional,Bike,Rain,Medium,125.6,43,89.06,9.04,6.15,3.08,531.46
North,Intercity,Truck,Clear,Medium,122.7,51,88.0,8.72,6.15,2.56,545.47
West,Local,Van,Clear,High,117.6,43,89.91,7.96,5.92,1.55,548.84
North,Regional,Van,Rain,High,90.1,36,96.8,9.46,5.08,4.13,441.21
West,Local,Van,Cloudy,Medium,187.4,43,91.54,9.63,7.88,1.66,749.23
West,Regional,Bike,Cloudy,Medium,93.3,48,98.57,6.59,5.29,0.74,473.29
South,Local,Bike,Clear,Medium,87.5,43,96.17,6.08,5.08,0.74,406.44
North,Local,Truck,Cloudy,High,93.8,38,86.16,8.69,5.21,3.71,417.76
East,Local,Bike,Clear,Low,97.6,38,99.27,6.07,5.31,1.26,416.41
East,Regional,Van,Cloudy,Medium,29.4,46,100.05,5.31,3.48,1.68,186.68
North,Regional,Bike,Clear,High,50.9,45,91.03,6.67,4.08,2.86,276.22
East,Regional,Van,Cloudy,Medium,80.0,61,98.1,6.51,5.05,0.79,449.4
East,Intercity,Van,Rain,Medium,28.5,56,91.72,7.33,3.56,4.0,196.32
North,Local,Van,Clear,Medium,86.0,47,96.49,7.01,5.08,1.65,422.49
West,Local,Truck,Rain,Low,96.8,50,89.68,7.57,5.41,2.27,444.98
North,Intercity,Van,Clear,Medium,37.8,48,87.03,6.94,3.74,3.12,240.58
West,Local,Van,Rain,Medium,58.4,49,94.09,5.99,4.33,2.13,269.17
East,Intercity,Van,Cloudy,Low,165.6,37,95.38,11.0,7.21,3.48,673.67
East,Local,Van,Clear,Low,115.5,46,94.01,7.32,5.89,1.65,508.77
East,Intercity,Truck,Cloudy,High,112.0,44,90.08,9.94,5.78,4.07,534.42
South,Local,Truck,Rain,Low,154.9,55,94.0,9.95,7.09,2.81,680.22
West,Intercity,Bike,Clear,Medium,51.5,52,97.35,6.52,4.16,2.29,252.25
South,Regional,Bike,Clear,Low,37.9,45,95.78,5.63,3.71,1.62,279.89
South,Intercity,Van,Cloudy,High,143.8,46,96.91,10.31,6.69,3.62,621.42
North,Local,Van,Cloudy,Low,81.3,29,92.65,5.47,4.77,0.68,392.09
South,Regional,Bike,Cloudy,Medium,50.7,63,101.86,7.08,4.25,2.92,300.17
North,Intercity,Van,Cloudy,High,29.3,49,90.12,6.67,3.51,3.19,203.7
North,Regional,Van,Clear,High,94.4,48,98.44,9.05,5.32,4.01,453.79
South,Regional,Van,Cloudy,Low,76.0,59,101.91,8.03,4.92,3.43,408.6
West,Regional,Truck,Clear,High,68.7,51,98.4,7.66,4.63,2.66,313.74
West,Regional,Bike,Clear,Medium,18.2,47,94.99,5.18,3.18,2.3,156.86
West,Regional,Bike,Clear,Medium,186.1,49,93.36,9.9,7.9,1.58,743.55
West,Regional,Truck,Clear,Low,33.6,58,101.18,5.96,3.72,2.45,268.52
West,Intercity,Van,Clear,Low,72.6,47,88.89,7.07,4.7,2.58,409.66
South,Local,Van,Clear,Medium,65.8,41,91.15,6.25,4.45,1.13,313.71
South,Local,Van,Cloudy,Medium,117.4,43,94.01,7.61,5.92,1.73,502.39
East,Intercity,Bike,Clear,Medium,29.5,38,102.19,4.49,3.41,0.92,190.56
West,Intercity,Truck,Clear,Medium,109.8,34,97.9,9.18,5.61,3.3,475.45
South,Regional,Truck,Clear,High,94.7,35,91.16,7.2,5.2,2.47,437.88
East,Regional,Van,Clear,Low,56.8,48,94.45,5.6,4.27,1.1,342.83
West,Local,Van,Clear,Medium,107.7,38,92.93,7.97,5.6,2.09,445.52
North,Local,Van,Clear,Low,85.9,67,92.45,6.69,5.28,1.44,444.31
East,Regional,Van,Cloudy,High,209.9,40,100.89,13.88,8.48,5.65,780.24
South,Local,Bike,Cloudy,Medium,76.0,56,89.14,7.23,4.89,2.3,359.66
North,Regional,Truck,Cloudy,High,46.7,31,104.04,6.62,3.82,3.21,273.49
North,Local,Bike,Clear,Low,110.4,46,100.14,6.81,5.75,1.24,552.05
North,Intercity,Truck,Clear,Low,70.6,41,101.45,7.03,4.59,1.68,365.06
East,Intercity,Van,Rain,Low,85.0,47,93.69,7.24,5.05,2.01,334.58
South,Regional,Bike,Clear,Low,38.0,41,95.25,4.16,3.67,0.29,169.26
North,Regional,Van,Clear,Low,118.4,43,88.83,7.5,5.95,1.73,522.29
West,Local,Truck,Clear,High,64.1,31,93.38,5.48,4.3,0.25,364.39
North,Intercity,Truck,Clear,Low,98.7,39,98.47,8.04,5.35,3.58,482.38
North,Regional,Truck,Clear,Low,238.3,35,102.48,12.06,9.22,3.02,956.32
East,Local,Van,Clear,High,73.5,42,90.46,5.94,4.68,1.32,408.3
East,Intercity,Van,Clear,Medium,127.3,34,94.17,9.43,6.1,3.74,528.2
South,Intercity,Truck,Clear,High,76.4,50,95.24,9.24,4.84,5.22,431.13
West,Intercity,Bike,Cloudy,Low,57.2,45,89.02,6.51,4.25,2.56,249.77
East,Regional,Van,Cloudy,Medium,168.8,42,98.96,10.2,7.35,3.19,666.57
North,Regional,Bike,Cloudy,Low,24.0,45,92.38,4.98,3.32,1.71,130.66
South,Local,Truck,Cloudy,Low,145.2,46,95.02,9.25,6.73,2.48,623.29
North,Intercity,Truck,Rain,High,22.1,50,93.74,7.97,3.32,4.49,211.64
North,Intercity,Bike,Clear,Low,137.2,37,92.05,8.23,6.41,1.53,579.27
East,Local,Truck,Clear,Medium,85.7,42,95.96,7.14,5.02,1.88,428.12
South,Local,Truck,Clear,Medium,46.8,48,94.92,6.48,3.99,2.02,264.16
West,Local,Bike,Cloudy,Medium,66.7,49,94.14,5.73,4.56,1.14,336.84
West,Intercity,Van,Rain,High,123.6,48,92.36,12.35,6.14,5.62,491.7
East,Intercity,Truck,Clear,Low,226.1,41,97.6,12.16,8.94,3.29,956.61
East,Local,Bike,Rain,Medium,30.2,43,104.27,5.4,3.48,1.91,204.26
South,Regional,Van,Clear,High,48.6,48,96.7,6.43,4.04,2.44,271.0
West,Local,Van,Rain,Medium,35.9,48,100.98,6.07,3.69,2.2,300.59
West,Intercity,Truck,Clear,High,76.1,43,89.05,7.51,4.76,3.82,348.4
West,Intercity,Truck,Clear,Low,139.2,50,96.79,9.27,6.6,3.15,576.78
North,Intercity,Truck,Clear,Medium,32.9,48,90.51,5.71,3.6,1.67,210.04
West,Regional,Van,Clear,Low,84.4,48,88.62,6.86,5.04,1.89,406.44
North,Local,Truck,Clear,Medium,136.8,53,92.3,9.59,6.56,2.82,623.13
South,Local,Truck,Clear,High,66.1,44,101.96,7.53,4.49,2.68,387.39
North,Local,Van,Cloudy,Low,95.1,43,100.75,5.16,5.29,0.0,535.61
South,Intercity,Truck,Clear,Medium,162.1,42,97.22,12.16,7.16,5.15,610.44
West,Intercity,Bike,Clear,Low,43.2,53,88.34,5.96,3.94,1.78,286.33
West,Intercity,Van,Cloudy,Medium,25.7,57,95.02,5.77,3.49,2.62,196.47
South,Intercity,Bike,Cloudy,Medium,101.7,52,97.51,8.7,5.57,3.48,446.45
East,Regional,Bike,Clear,High,103.3,51,96.88,8.7,5.6,3.58,449.81
South,Regional,Bike,Clear,Medium,63.4,52,86.78,5.97,4.5,1.18,300.99
East,Intercity,Van,Clear,Medium,56.3,41,91.55,6.94,4.19,2.92,367.28
North,Intercity,Van,Clear,Low,86.7,50,95.68,7.09,5.13,2.18,449.78
North,Local,Truck,Cloudy,Low,42.7,53,98.68,5.09,3.93,0.99,287.68
North,Regional,Bike,Clear,Low,42.7,48,85.02,4.61,3.88,0.47,306.36
West,Local,Van,Clear,Low,123.1,42,95.19,6.48,6.07,0.98,486.18
North,Intercity,Van,Cloudy,High,40.9,47,96.72,7.52,3.82,3.79,214.31
East,Regional,Truck,Clear,Medium,26.7,48,100.25,5.98,3.43,2.77,151.91
North,Local,Van,Clear,Medium,56.2,44,99.46,5.99,4.21,1.49,287.3
South,Regional,Van,Clear,Low,64.3,50,98.91,6.63,4.5,1.71,349.75
South,Regional,Truck,Rain,High,109.8,49,92.0,10.44,5.76,4.47,516.09
West,Local,Van,Clear,Medium,59.2,47,86.46,5.47,4.33,1.1,326.91
South,Local,Bike,Cloudy,Low,176.9,39,94.03,9.79,7.54,1.87,664.47
East,Regional,Bike,Clear,Medium,89.3,37,101.01,6.16,5.07,1.09,442.26
North,Regional,Truck,Clear,Medium,51.6,53,102.97,5.97,4.17,1.21,326.69
West,Intercity,Bike,Cloudy,Low,107.3,50,99.55,7.58,5.7,1.48,511.17
North,Regional,Truck,Rain,Medium,175.2,45,98.15,12.34,7.56,5.02,670.81
North,Intercity,Van,Cloudy,Medium,121.3,42,97.9,9.96,6.02,4.16,545.0
East,Regional,Truck,Cloudy,Low,31.6,40,93.22,5.64,3.48,2.02,196.7
South,Regional,Truck,Rain,High,67.6,47,95.35,9.41,4.56,4.49,353.46
South,Intercity,Truck,Clear,High,97.9,46,104.35,8.88,5.4,3.12,492.45
North,Local,Van,Clear,Medium,118.6,41,91.29,8.02,5.93,1.95,524.49
West,Local,Truck,Cloudy,Medium,76.4,63,104.07,7.18,4.97,2.43,382.11
South,Local,Van,Clear,Medium,70.3,54,94.39,6.88,4.71,2.5,366.87
West,Regional,Van,Cloudy,Medium,209.1,46,102.63,11.82,8.51,3.13,789.22
South,Regional,Van,Rain,Medium,122.3,33,88.97,9.02,5.95,2.67,567.22
West,Regional,Truck,Clear,Low,107.5,47,98.93,8.21,5.68,2.62,498.54
East,Local,Truck,Clear,Medium,60.6,56,92.32,6.9,4.46,2.15,388.59
West,Local,Truck,Cloudy,High,42.3,37,88.92,5.96,3.75,2.03,253.62
East,Local,Van,Clear,Medium,108.5,41,97.09,7.4,5.65,2.21,470.64
East,Local,Van,Cloudy,Low,129.5,51,101.05,7.36,6.34,1.32,543.75
West,Regional,Truck,Clear,High,84.7,41,91.78,6.68,4.98,1.75,451.19
East,Local,Bike,Cloudy,Low,122.4,40,88.5,7.48,6.03,1.01,500.52
North,Regional,Bike,Clear,Low,124.1,48,95.54,8.3,6.15,2.22,562.77
East,Intercity,Van,Cloudy,Low,134.2,47,95.56,9.51,6.43,3.46,567.77
